Start Date,1/1/2024,,,Company:,Salesforce,,Hubspot
End Date,3/31/2026,,,Ticker Symbol:,CRM,,HUBS
,,,,,,,
,,,,,,,
,,,,Date,Close,,Close
,,,,5/4/2024, $256.21 ,, $592.58 
,,,,5/5/2024, $256.19 ,, $584.14 
,,,,5/6/2024, $260.95 ,, $592.31 
,,,,5/7/2024, $263.19 ,, $587.25 
,,,,5/8/2024, $257.37 ,, $586.16 
,,,,5/9/2024, $252.43 ,, $560.21 
,,,,5/10/2024, $252.59 ,, $492.31 
,,,,5/11/2024, $251.12 ,, $489.77 
,,,,5/12/2024, $253.97 ,, $476.13 
,,,,5/13/2024, $252.86 ,, $471.89 
,,,,5/14/2024, $256.03 ,, $488.81 
,,,,5/15/2024, $251.22 ,, $480.36 
,,,,5/16/2024, $247.35 ,, $481.41 
,,,,5/17/2024, $247.63 ,, $479.82 
,,,,5/18/2024, $254.08 ,, $483.01 
,,,,5/19/2024, $256.06 ,, $488.47 
,,,,5/20/2024, $249.78 ,, $473.33 
,,,,5/21/2024, $256.52 ,, $495.76 
,,,,5/22/2024, $262.71 ,, $492.72 
,,,,5/23/2024, $258.59 ,, $498.70 
,,,,5/24/2024, $257.93 ,, $488.02 
,,,,5/25/2024, $258.80 ,, $497.03 
,,,,5/26/2024, $253.06 ,, $481.87 
,,,,5/27/2024, $243.97 ,, $465.66 
,,,,5/28/2024, $239.01 ,, $455.46 
,,,,5/29/2024, $238.42 ,, $450.09 
,,,,5/30/2024, $240.04 ,, $460.74 
,,,,5/31/2024, $249.12 ,, $476.35 
,,,,6/1/2024, $252.53 ,, $472.61 
,,,,6/2/2024, $251.31 ,, $469.29 
,,,,6/3/2024, $254.60 ,, $484.61 
,,,,6/4/2024, $255.32 ,, $484.26 
,,,,6/5/2024, $262.79 ,, $489.51 
,,,,6/6/2024, $262.91 ,, $497.87 
,,,,6/7/2024, $265.38 ,, $497.26 
,,,,6/8/2024, $261.84 ,, $487.41 
,,,,6/9/2024, $261.09 ,, $495.29 
,,,,6/10/2024, $258.59 ,, $496.87 
,,,,6/11/2024, $264.00 ,, $503.07 
,,,,6/12/2024, $265.28 ,, $499.10 
,,,,6/13/2024, $264.20 ,, $502.01 
,,,,6/14/2024, $258.90 ,, $493.19 
,,,,6/15/2024, $257.01 ,, $500.05 
,,,,6/16/2024, $252.90 ,, $499.07 
,,,,6/17/2024, $248.06 ,, $495.76 
,,,,6/18/2024, $247.68 ,, $494.28 
,,,,6/19/2024, $246.12 ,, $504.17 
,,,,6/20/2024, $243.97 ,, $496.48 
,,,,6/21/2024, $245.76 ,, $494.51 
,,,,6/22/2024, $246.16 ,, $492.14 
,,,,6/23/2024, $249.57 ,, $497.82 
,,,,6/24/2024, $253.37 ,, $492.60 
,,,,6/25/2024, $254.57 ,, $491.17 
,,,,6/26/2024, $256.91 ,, $495.41 
,,,,6/27/2024, $255.19 ,, $492.30 
,,,,6/28/2024, $252.43 ,, $503.76 
,,,,6/29/2024, $265.99 ,, $530.11 
,,,,6/30/2024, $266.80 ,, $526.88 
,,,,7/1/2024, $264.21 ,, $527.25 
,,,,7/2/2024, $270.44 ,, $532.11 
,,,,7/3/2024, $274.09 ,, $531.19 
,,,,7/4/2024, $275.76 ,, $534.88 
,,,,7/5/2024, $276.64 ,, $536.00 
,,,,7/6/2024, $273.71 ,, $531.60 
,,,,7/7/2024, $270.87 ,, $526.66 
,,,,7/8/2024, $279.48 ,, $514.56 
,,,,7/9/2024, $280.91 ,, $517.42 
,,,,7/10/2024, $287.75 ,, $535.00 
,,,,7/11/2024, $284.57 ,, $522.09 
,,,,7/12/2024, $291.57 ,, $532.36 
,,,,7/13/2024, $287.92 ,, $541.07 
,,,,7/14/2024, $290.17 ,, $553.49 
,,,,7/15/2024, $288.10 ,, $559.40 
,,,,7/16/2024, $291.64 ,, $560.09 
,,,,7/17/2024, $288.35 ,, $548.21 
,,,,7/18/2024, $290.86 ,, $532.13 
,,,,7/19/2024, $291.11 ,, $533.38 
,,,,7/20/2024, $292.94 ,, $537.14 
,,,,7/21/2024, $291.29 ,, $532.92 
,,,,7/22/2024, $288.33 ,, $531.62 
,,,,7/23/2024, $284.43 ,, $531.93 
,,,,7/24/2024, $286.76 ,, $554.31 
,,,,7/25/2024, $290.46 ,, $565.67 
,,,,7/26/2024, $293.77 ,, $558.08 
,,,,7/27/2024, $298.89 ,, $563.21 
,,,,7/28/2024, $296.40 ,, $561.11 
,,,,7/29/2024, $291.37 ,, $554.79 
,,,,7/30/2024, $294.72 ,, $565.23 
,,,,7/31/2024, $298.01 ,, $564.55 
,,,,8/1/2024, $297.49 ,, $578.28 
,,,,8/2/2024, $306.90 ,, $597.79 
,,,,8/3/2024, $310.78 ,, $644.61 
,,,,8/4/2024, $321.95 ,, $656.56 
,,,,8/5/2024, $341.73 ,, $680.79 
,,,,8/6/2024, $341.15 ,, $701.34 
,,,,8/7/2024, $341.72 ,, $700.16 
,,,,8/8/2024, $331.65 ,, $696.30 
,,,,8/9/2024, $325.26 ,, $677.07 
,,,,8/10/2024, $322.25 ,, $668.32 
,,,,8/11/2024, $323.43 ,, $682.53 
,,,,8/12/2024, $325.70 ,, $694.48 
,,,,8/13/2024, $335.78 ,, $720.00 
,,,,8/14/2024, $342.02 ,, $742.61 
,,,,8/15/2024, $339.11 ,, $731.82 
,,,,8/16/2024, $343.18 ,, $729.83 
,,,,8/17/2024, $330.01 ,, $722.76 
,,,,8/18/2024, $329.99 ,, $721.05 
,,,,8/19/2024, $331.01 ,, $723.59 
,,,,8/20/2024, $331.43 ,, $719.44 
